file,ordinal,channel,channel_type,name,verts,tris,uv_sets,fvf,poly_type,bytes,size_x,size_y,size_z,error
Actors/Boss_TrafficRunner.cgr,0,207,3D ObjectData,al-01,1240,860,1,0x112,4,44992,9.9638,3.0556,9.7335,
Actors/Boss_TrafficRunner.cgr,1,228,3D ObjectData,car12,2427,2244,1,0x112,4,91280,4.7309,3.7428,7.6193,
Actors/Boss_TrafficRunner.cgr,2,230,3D ObjectData,car1211,54,40,1,0x112,4,2120,4.1262,1.3117,7.0527,
Actors/Boss_TrafficRunner.cgr,3,232,3D ObjectData,car1211E,53,28,1,0x112,4,2016,2.418,0.5984,1.424,
Actors/Boss_TrafficRunner.cgr,4,234,3D ObjectData,car122,321,262,1,0x112,4,11996,4.4609,3.5232,6.6633,
Actors/Debris.cgr,0,94,Tune_Forest,Tune_Forest,800,400,1,0x142,4,21752,0.0,0.0,0.0,
Actors/Debris.cgr,1,233,Tune_Forest,Tune_Forest,100,50,1,0x142,4,2852,0.0,0.0,0.0,
Actors/Debris.cgr,2,234,Tune_Forest,Tune_Forest,200,100,1,0x142,4,5552,0.0,0.0,0.0,
Actors/Enemies_Flight.cgr,0,131,3D ObjectData,al-01,706,428,1,0x112,4,25312,9.6514,4.1184,13.8611,
Actors/Explosion.cgr,0,57,3D ObjectData,Explosion.3ds,306,608,1,0x112,4,13592,1.359,1.359,1.1895,
Actors/Player_Pullers.cgr,0,176,3D ObjectData,RopePullerRocket.3ds,140,280,1,0x112,4,6312,0.784,1.8408,3.6759,
Actors/Player_Pullers.cgr,1,194,3D ObjectData,RopePullerWithBalls.3ds,254,504,1,0x112,4,11304,0.784,1.9225,3.6759,
Actors/PlayerCar_Boomer.cgr,0,68,3D ObjectData,Vertex Data,766,644,3,0x312,4,40864,56.0416,20.3086,45.6726,
Actors/PlayerCar_Boomer.cgr,1,87,3D ObjectData,Vertex Data,714,628,3,0x312,4,38272,61.262,22.7907,43.1439,
Actors/PlayerCar_Boomer.cgr,2,122,3D ObjectData,Vertex Data,58,48,3,0x312,4,3304,8.0325,6.8949,22.2687,
Actors/PlayerCar_Boomer.cgr,3,159,3D ObjectData,Vertex Data,50,56,3,0x312,4,2968,1.378,34.0208,15.9227,
Actors/PlayerCar_Boomer.cgr,4,371,3D ObjectData,Vertex Data,86,120,3,0x312,4,5080,17.063,17.0629,7.8284,
Actors/PlayerCar_Boomer.cgr,5,450,3D ObjectData,Vertex Data,64,120,3,0x312,4,4024,17.063,15.5014,7.1119,
Actors/PlayerCar_Boomer.cgr,6,539,3D ObjectData,Vertex Data,64,120,3,0x312,4,4024,17.063,14.8846,6.829,
Actors/PlayerCar_Boomer.cgr,7,586,3D ObjectData,Vertex Data,64,120,3,0x312,4,4024,13.4259,12.1271,5.5638,
Actors/PlayerCar_Boomer.cgr,8,608,3D ObjectData,Vertex Data,86,120,3,0x312,4,5080,17.063,17.0629,7.8284,
Actors/PlayerCar_Boomer.cgr,9,635,3D ObjectData,Vertex Data,64,120,3,0x312,4,4024,17.063,15.5014,7.1119,
Actors/PlayerCar_Boomer.cgr,10,665,3D ObjectData,Vertex Data,64,120,3,0x312,4,4024,17.063,14.8846,6.829,
Actors/PlayerCar_Boomer.cgr,11,698,3D ObjectData,Vertex Data,64,120,3,0x312,4,4024,13.4259,12.1271,5.5638,
Actors/PlayerCar_Boomer2.cgr,0,16,3D ObjectData,Vertex Data,1207,870,3,0x312,4,63388,370.8285,134.4062,326.1482,
Actors/PlayerCar_Boomer2.cgr,1,32,3D ObjectData,Vertex Data,1300,1044,3,0x312,4,68896,417.3511,163.9753,321.5165,
Actors/PlayerCar_Boomer2.cgr,2,48,3D ObjectData,Vertex Data,58,48,3,0x312,4,3304,52.6739,45.2143,121.331,
Actors/PlayerCar_Boomer2.cgr,3,78,3D ObjectData,Vertex Data,50,56,3,0x312,4,2968,7.5082,185.3628,86.7549,
Actors/PlayerCar_Boomer2.cgr,4,108,3D ObjectData,Vertex Data,85,120,3,0x312,4,5032,92.9677,92.9675,42.6529,
Actors/PlayerCar_Boomer2.cgr,5,138,3D ObjectData,Vertex Data,63,120,3,0x312,4,3976,92.9677,84.4596,38.7495,
Actors/PlayerCar_Boomer2.cgr,6,168,3D ObjectData,Vertex Data,63,120,3,0x312,4,3976,92.9677,81.099,37.2077,
Actors/PlayerCar_Boomer2.cgr,7,198,3D ObjectData,Vertex Data,63,120,3,0x312,4,3976,73.1511,66.0743,30.3145,
Actors/PlayerCar_Boomer2.cgr,8,218,3D ObjectData,Vertex Data,85,120,3,0x312,4,5032,92.9677,92.9675,42.6529,
Actors/PlayerCar_Boomer2.cgr,9,244,3D ObjectData,Vertex Data,63,120,3,0x312,4,3976,92.9677,84.4596,38.7495,
Actors/PlayerCar_Boomer2.cgr,10,270,3D ObjectData,Vertex Data,63,120,3,0x312,4,3976,92.9677,81.099,37.2077,
Actors/PlayerCar_Boomer2.cgr,11,296,3D ObjectData,Vertex Data,63,120,3,0x312,4,3976,73.1511,66.0743,30.3145,
Actors/PlayerCar_Boomer2.cgr,12,329,3D ObjectData,Vertex Data,50,56,3,0x312,4,2968,7.5082,185.3628,86.7549,
Actors/PlayerCar_DragWarp.cgr,0,97,3D ObjectData,Vertex Data,372,348,3,0x312,4,20176,49.7788,12.1768,116.7126,
